GARE_IDE_GAR;GARE_IDE_GAR_ORI;GARE_IDE_GAR_DES;COMMUNE;commune;LATITUDE;LONGITUDE;ZONE_GARE_ORI;ZONE_GARE_DES;ZONE_GARE
387092;387092;387092;27119;Bueil;48.9250899118; 1.44377555077;100;100;100
393009;393009;393009;78646;Versailles;48.7955663445; 2.13546496397;4;4;4
393074;393074;393074;92040;Issy-les-Moulineaux;48.8200598727; 2.25932087481;2;2;2
393298;393298;393298;78486;Le Perray-en-Yvelines;48.6925852309; 1.85633484373;5;5;5
393421;393421;393421;78490;Plaisir;48.8317373306; 1.94319450577;5;5;5
393454;393454;393454;78605;Tacoignières;48.8295900385; 1.66932426561;5;5;5
393645;393645;393645;91345;Longjumeau;48.6852431878; 2.31766558108;4;4;4
393843;393843;393843;78423;Montigny-le-Bretonneux;48.7879626643; 2.04468643564;5;5;5
394114;394114;394114;28140;Epernon;48.5831533602; 1.62768739729;100;100;100
394130;394130;394130;28227;Maintenon;48.5853643047; 1.59245485785;100;100;100
394148;394148;394148;28357;Saint-Piat;48.5424409263; 1.59010244864;100;100;100
419952;419952;419952;60614;Serans;49.1858313836; 1.83583096064;100;100;100
492108;492108;492108;94081;Vitry-sur-Seine;48.7828360607; 2.40914828931;3;3;3
540179;540179;540179;91200;Dourdan;48.5356737195; 1.99487866205;5;5;5
545145;545145;545145;91226;Etréchy;48.4935610644; 2.19438536557;5;5;5
545160;545160;545160;91330;Lardy;48.5208671409; 2.25536941021;5;5;5
545210;545210;545210;91549;Sainte-Geneviève-des-Bois;48.6530895138; 2.3127529;5;5;5
545251;545251;545251;91027;Athis-Mons;48.7127944; 2.40314310669;4;4;4
545301;545301;545301;94041;Ivry-sur-Seine;48.8143839943; 2.39106475934;2;2;2
545350;545350;545350;91223;Etampes;48.427593794; 2.14520579403;5;5;5
545459;545459;545459;91457;La Norville;48.5916132336; 2.2674134527;5;5;5
545491;545491;545491;91105;Breuillet;48.5649002906; 2.17146323878;5;5;5
545707;545707;545707;28422;Voves;48.274974514; 1.62217099624;100;100;100
681007;681007;681007;91174;Corbeil-Essonnes;48.6141179308; 2.47389296086;5;5;5
681312;681312;681312;91687;Viry-Châtillon;48.6760751629; 2.38641557346;4;4;4
681338;681338;681338;91521;Ris-Orangis;48.659296221; 2.41440509683;5;5;5
681395;681395;681395;91228;Evry;48.6232392312; 2.45083926614;5;5;5
682005;682005;682005;77288;Melun;48.5275966344; 2.65539176037;5;5;5
682120;682120;682120;91114;Brunoy;48.6990474124; 2.50656952687;5;5;5
682153;682153;682153;77296;Moissy-Cramayel;48.6284764876; 2.57006099644;5;5;5
682211;682211;682211;77014;Avon;48.416373943; 2.7264708082;5;5;5
682468;682468;682468;77494;Vernou-la-Celle-sur-Seine;48.3871918594; 2.84237865621;5;5;5
683136;683136;683136;89309;Pont-sur-Yonne;48.2866954166; 3.20174953421;100;100;100
683243;683243;683243;89206;Joigny;47.973553839; 3.39399460049;100;100;100
684415;684415;684415;45191;Malesherbes;48.2933666272; 2.4010261721;100;100;100
758078;758078;758078;78650;Le Vésinet;48.8903029033; 2.13468726683;4;4;4
758086;758086;758086;78650;Le Vésinet;48.8982617452; 2.12225185668;4;4;4
758094;758094;758094;78551;Saint-Germain-en-Laye;48.8984691709; 2.09453884287;4;4;4
758144;758144;758144;94042;Joinville-le-Pont;48.8210157404; 2.46380759996;3;3;3
758326;758326;758326;94015;Bry-sur-Marne;48.844309728; 2.5262979201;4;4;4
758359;758359;758359;77337;Noisiel;48.8435754749; 2.61635637918;5;5;5
758607;758607;758607;75101;Paris;48.8575990354; 2.34741546883;1;1;1
758615;758615;758615;75105;Paris;48.84701219; 2.34056375045;1;1;1
758649;758649;758649;75114;Paris;48.8199505249; 2.34053480316;1;1;1
758680;758680;758680;94016;Cachan;48.7932107738; 2.32101212686;3;3;3
758714;758714;758714;92032;Fontenay-aux-Roses;48.7875498744; 2.29198724405;3;3;3
758862;758862;758862;91122;Bures-sur-Yvette;48.6947648701; 2.15318113824;5;5;5
758888;758888;758888;91272;Gif-sur-Yvette;48.7009426381; 2.09904538368;5;5;5
113704;113704;113704;93064;Rosny-sous-Bois;48.8707365481; 2.48559085409;3;3;3
116095;116095;116095;77327;Nangis;48.5614914155; 3.01241107757;5;5;5
116210;116210;116210;77470;Tournan-en-Brie;48.7391987163; 2.7593959944;5;5;5
116673;116673;116673;2307;La Ferté-Milon;49.17955597; 3.12102785979;100;100;100
116749;116749;116749;77142;Villiers-sur-Morin;48.8631530283; 2.88296287419;5;5;5
116772;116772;116772;77142;Crécy-la-Chapelle;48.8595413958; 2.9057267856;5;5;5
271122;271122;271122;93031;Epinay-sur-Seine;48.9583799869; 2.32884820025;3;3;3
271171;271171;271171;95197;Deuil-la-Barre;48.9663676293; 2.31663105732;4;4;4
271205;271205;271205;92036;Gennevilliers;48.9337077898; 2.30709579749;3;3;3
271247;271247;271247;93070;Saint-Ouen;48.905347806; 2.3224084353;2;2;2
271411;271411;271411;93005;Aulnay-sous-Bois;48.9318826001; 2.49441371193;4;4;4
271460;271460;271460;93073;Tremblay-en-France;49.0097447522; 2.56069879391;5;5;5
271536;271536;271536;77420;Saint-Mard;49.0319624789; 2.6987299167;5;5;5
271585;271585;271585;60479;Ormoy-Villers;49.2008926273; 2.83811205149;100;100;100
271593;271593;271593;60176;Crépy-en-Valois;49.231220388; 2.88844224326;100;100;100
272021;272021;272021;95660;Villaines-sous-Bois;49.0792979934; 2.3505368339;5;5;5
276006;276006;276006;60175;Creil;49.2641015333; 2.46907080816;100;100;100
276154;276154;276154;95572;Saint-Ouen-l'Aumône;49.0597820664; 2.1302213648;5;5;5
276170;276170;276170;95555;Saint-Gratien;48.9638146849; 2.28483149536;5;5;5
276188;276188;276188;95582;Sannois;48.970013299; 2.26372238519;4;4;4
276444;276444;276444;60086;Boran-sur-Oise;49.1672989351; 2.36252152612;100;100;100
276527;276527;276527;95480;Parmain;49.1140318769; 2.20957249819;5;5;5
276535;276535;276535;95120;Butry-sur-Oise;49.0918296452; 2.20237586217;5;5;5
276626;276626;276626;95607;Taverny;49.021390636; 2.23074753167;4;4;4
276667;276667;276667;95394;Méry-sur-Oise;49.0576430501; 2.19077460685;5;5;5
281899;281899;281899;75109;Paris;48.8735337311; 2.32824885164;1;1;1
328328;328328;328328;75113;Paris;48.8298309183; 2.37530322164;1;1;1
332965;332965;332965;91016;Angerville;48.3707826482; 1.99753551336;5;5;5
334482;334482;334482;95450;Neuville-sur-Oise;49.0141135729; 2.07888615344;5;5;5
381012;381012;381012;75117;Paris;48.8854627647; 2.29821136122;1;1;1
381020;381020;381020;75117;Paris;48.8776642848; 2.28174383914;1;1;1
381046;381046;381046;75116;Paris;48.8642235059; 2.2723998395;1;1;1
381079;381079;381079;92009;Bois-Colombes;48.9135363059; 2.27247445772;3;3;3
381111;381111;381111;75117;Paris;48.8875699026; 2.31401853193;1;1;1
381137;381137;381137;92004;Asnières-sur-Seine;48.9057768994; 2.28332241877;3;3;3
381160;381160;381160;95422;Montgeroult;49.0806565706; 2.00322127137;5;5;5
381244;381244;381244;27284;Gisors;49.2852574164; 1.78504836506;100;100;100
381426;381426;381426;95572;Saint-Ouen-l'Aumône;49.0400178346; 2.1036606548;5;5;5
381459;381459;381459;78172;Conflans-Sainte-Honorine;48.9891848652; 2.07455911528;5;5;5
381475;381475;381475;78138;Chanteloup-les-Vignes;48.9708118583; 2.02769552539;5;5;5
381814;381814;381814;78638;Vaux-sur-Seine;49.0069879925; 1.96359187721;5;5;5
381905;381905;381905;95127;Cergy;49.0365179881; 2.07971720177;5;5;5
382382;382382;382382;92062;Puteaux;48.8834917758; 2.2335382863;3;3;3
382861;382861;382861;78646;Versailles;48.8096143342; 2.1354511829;4;4;4
386052;386052;386052;78551;Saint-Germain-en-Laye;48.9551807035; 2.09202131475;5;5;5
386417;386417;386417;78586;Sartrouville;48.9377726159; 2.15721464809;4;4;4
386573;386573;386573;78498;Poissy;48.9331553703; 2.04113811959;5;5;5
386763;386763;386763;78217;Epône;48.9633027296; 1.80862937113;5;5;5
387001;387001;387001;27229;Evreux;49.0185587603; 1.14988766626;100;100;100
391532;391532;391532;92075;Vanves;48.8185217339; 2.29153832055;2;2;2
393033;393033;393033;75107;Paris;48.8623692316; 2.31259955332;1;1;1
393041;393041;393041;75107;Paris;48.8620519436; 2.30178420665;1;1;1
393058;393058;393058;75115;Paris;48.8559093189; 2.28968029764;1;1;1
393116;393116;393116;92048;Meudon;48.819155929; 2.22962459235;3;3;3
393165;393165;393165;78646;Versailles;48.7968721628; 2.15370348977;4;4;4
393173;393173;393173;78686;Viroflay;48.7997821325; 2.18396483387;3;3;3
393223;393223;393223;78545;Saint-Cyr-l'Ecole;48.7989222361; 2.07296401601;5;5;5
393314;393314;393314;78517;Rambouillet;48.6437876582; 1.83120236411;5;5;5
393512;393512;393512;78322;Jouy-en-Josas;48.7649345138; 2.16348314333;4;4;4
393611;393611;393611;91345;Longjumeau;48.7021715574; 2.29438365384;4;4;4
393884;393884;393884;78683;Villiers-Saint-Fréderic;48.8154213377; 1.87718983087;5;5;5
394007;394007;394007;28085;Chartres;48.4470815286; 1.47904112441;100;100;100
543181;543181;543181;75116;Paris;48.8571247692; 2.27486035986;1;1;1
545152;545152;545152;91132;Chamarande;48.5149456565; 2.21658535038;5;5;5
